Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
DeepSpeech_conv1,	-11271.0,	-1.0,	112709,	-1444.0,	-1.0,	14432,	8288.0,	420526.0,	12038400,	96.0,	377581.0,	12038400,	0.0,	377584.0,	11719871,	
DeepSpeech_conv2,	-52429.0,	1259234.0,	10889312,	-23655.0,	-1.0,	236544,	1323861.0,	1341892.0,	180320,	96.0,	1323860.0,	41653920,	0.0,	1323796.0,	43199541,	
BatchRNN1,	-52429.0,	52447.0,	1720320,	-1024.0,	-1.0,	10240,	59200.0,	59468.0,	2688,	68.0,	59199.0,	215040,	0.0,	59163.0,	1786880,	
BatchRNN2,	-52429.0,	201399.0,	6553600,	-1024.0,	-1.0,	10240,	210240.0,	211263.0,	10240,	68.0,	210239.0,	819200,	0.0,	210203.0,	6771200,	
BatchRNN3,	-52429.0,	201399.0,	6553600,	-1024.0,	-1.0,	10240,	210240.0,	211263.0,	10240,	68.0,	210239.0,	819200,	0.0,	210203.0,	6771200,	
FC,	-256.0,	-1.0,	2560,	-7424.0,	-1.0,	74240,	7520.0,	7522.0,	29,	93.0,	7519.0,	2320,	0.0,	7458.0,	79440,	
