IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	DeepSpeech_conv1,	0.261023119660396,	0.03342311317586737,	27.87976757596741,	27.142085285446633,	27.87976757596741,
524288,	524288,	262144,	DeepSpeech_conv2,	7.809759732514966,	0.16964816566629923,	0.12932459598614665,	30.982493270918248,	29.87398167279988,
524288,	524288,	262144,	BatchRNN1,	15.37413871685568,	0.09151273045747428,	0.024022091745086998,	15.968971464829263,	1.92176733960696,
524288,	524288,	262144,	BatchRNN2,	24.85323786842225,	0.038833184169409764,	0.038833184169409764,	25.67844303202221,	3.1066547335527814,
524288,	524288,	262144,	BatchRNN3,	24.85323786842225,	0.038833184169409764,	0.038833184169409764,	25.67844303202221,	3.1066547335527814,
524288,	524288,	262144,	FC,	0.17128328649805968,	4.9672153084437305,	0.0019403184798608324,	5.315134484142915,	0.15522547838886658,
