IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv,	0.21376571806750497,	1.4122748963739593,	2.5770315928802816,	15.682434079905256,	14.490403706154865,
524288,	524288,	262144,	Res_conv1,	0.2978125523659753,	19.007205558205186,	0.23841503499658412,	21.82116294358009,	19.304425166604364,
524288,	524288,	262144,	Res_conv2,	0.2978125523659753,	19.007205558205186,	0.23841503499658412,	21.82116294358009,	19.304425166604364,
524288,	524288,	262144,	ValueHead_conv,	5.047020916389056,	0.16776800830102123,	0.01971492545464475,	5.387799683250505,	5.114302878051444,
524288,	524288,	262144,	ValueHead_FC1,	0.02763742152809677,	7.075179911192773,	0.019598836319093555,	7.365640790078089,	0.23610473128158016,
524288,	524288,	262144,	ValueHead_FC2,	0.4680073126142596,	0.4680073126142596,	0.0018281535648994515,	1.4186471663619744,	0.029250457038391225,
524288,	524288,	262144,	PolicyHead_Conv,	5.010898443854037,	0.18044786639917584,	0.039147644092609665,	5.5210106815594,	5.23428943230494,
524288,	524288,	262144,	PolidyHead_FC,	0.02008680169152014,	7.271422212330291,	0.010071221900734477,	7.543233919430225,	0.23227798798130425,
