Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv,	-614.0,	-1.0,	6137,	-4055.0,	-1.0,	40545,	17256.0,	24654.0,	73984,	64.0,	17255.0,	416005,	0.0,	17229.0,	450227,	
Res_conv1,	-9242.0,	-1.0,	92416,	-52429.0,	243396.0,	5898240,	250489.0,	257887.0,	73984,	64.0,	250488.0,	5990472,	0.0,	250455.0,	6771456,	
Res_conv2,	-9242.0,	-1.0,	92416,	-52429.0,	243396.0,	5898240,	250489.0,	257887.0,	73984,	64.0,	250488.0,	5990472,	0.0,	250455.0,	6771456,	
ValueHead_conv,	-9242.0,	-1.0,	92416,	-308.0,	-1.0,	3072,	9033.0,	9069.0,	361,	64.0,	9032.0,	93648,	0.0,	8991.0,	98656,	
ValueHead_FC1,	-37.0,	-1.0,	361,	-9242.0,	-1.0,	92416,	3795.0,	3820.0,	256,	64.0,	3794.0,	3084,	0.0,	3784.0,	96210,	
ValueHead_FC2,	-26.0,	-1.0,	256,	-26.0,	-1.0,	256,	521.0,	521.0,	1,	64.0,	520.0,	16,	0.0,	487.0,	776,	
PolicyHead_Conv,	-9242.0,	-1.0,	92416,	-333.0,	-1.0,	3328,	9129.0,	9201.0,	722,	64.0,	9128.0,	96536,	0.0,	9087.0,	101824,	
PolidyHead_FC,	-73.0,	-1.0,	722,	-26137.0,	-1.0,	261364,	9771.0,	9807.0,	362,	64.0,	9770.0,	8349,	0.0,	9751.0,	271134,	
