Layer,	Cycles,	% Utilization,
DeepSpeech_conv1,	354066,	99.83051800370552,
DeepSpeech_conv2,	1308418,	99.48522968391144,
BatchRNN1,	53795,	12.489506550817051,
BatchRNN2,	204835,	12.497244298348395,
BatchRNN3,	204835,	12.497244298348395,
FC,	2589,	2.7860709283230296,
