Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
DeepSpeech_conv1,	-11254.0,	-1.0,	112539,	-1444.0,	-1.0,	14432,	115519.0,	374264.0,	802560,	482.0,	353638.0,	802560,	0.0,	354065.0,	22994266,	
DeepSpeech_conv2,	-52429.0,	386015.0,	910304,	-23655.0,	-1.0,	236544,	1308418.0,	1326449.0,	180320,	7423.0,	1308417.0,	180320,	0.0,	1308414.0,	84830623,	
BatchRNN1,	-52429.0,	49166.0,	1720320,	-1024.0,	-1.0,	10240,	53795.0,	54063.0,	2688,	2563.0,	53794.0,	2688,	0.0,	53790.0,	1989151,	
BatchRNN2,	-52429.0,	196622.0,	6553600,	-1024.0,	-1.0,	10240,	204835.0,	205858.0,	10240,	2563.0,	204834.0,	10240,	0.0,	204830.0,	7577631,	
BatchRNN3,	-52429.0,	196622.0,	6553600,	-1024.0,	-1.0,	10240,	204835.0,	205858.0,	10240,	2563.0,	204834.0,	10240,	0.0,	204830.0,	7577631,	
FC,	-256.0,	-1.0,	2560,	-7424.0,	-1.0,	74240,	2589.0,	2591.0,	29,	2588.0,	2588.0,	29,	0.0,	2587.0,	79388,	
