Layer,	Cycles,	% Utilization,
Conv1,	100219,	99.01294875160897,
Conv2,	24729631,	99.98285915714837,
Conv3,	110623,	94.49764769758549,
Conv4,	165919,	94.50884637232626,
Conv5,	110623,	94.49764769758549,
