IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Embedding,	0.004270581366252398,	0.28115772791725746,	143.95275669363582,	36.6942614062891,	143.95275669363582,
524288,	524288,	262144,	Attn_Xmap,	0.1326768592899715,	8.491318994558176,	0.016584607411246437,	8.772998186058564,	0.016584607411246437,
524288,	524288,	262144,	Attn_Kmap,	0.1326768592899715,	8.491318994558176,	0.016584607411246437,	8.772998186058564,	0.016584607411246437,
524288,	524288,	262144,	Attn_Qmap,	0.1326768592899715,	8.491318994558176,	0.016584607411246437,	8.772998186058564,	0.016584607411246437,
524288,	524288,	262144,	Attn_QxK',	0.11764705882352941,	0.11764705882352941,	7.529411764705882,	2.145220588235294,	7.529411764705882,
524288,	524288,	262144,	Attn_SFMXxV,	2.8365650969529086,	0.0443213296398892,	0.0443213296398892,	4.2569252077562325,	0.0443213296398892,
524288,	524288,	262144,	Attn_Concat_map,	0.01858709068467291,	9.51659043055253,	0.01858709068467291,	9.600196035722066,	0.01858709068467291,
524288,	524288,	262144,	FFN1,	0.008984820566815828,	18.400912520838816,	0.03593928226726331,	18.54914451171361,	0.03593928226726331,
524288,	524288,	262144,	FFN2,	0.036036036036036036,	18.45045045045045,	0.009009009009009009,	18.59908150337838,	0.009009009009009009,
