Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Embedding,	-52.0,	-1.0,	512,	-3371.0,	-1.0,	33708,	1280.0,	116519.0,	17258496,	256.0,	67839.0,	17258496,	0.0,	17066.0,	4399275,	
Attn_Xmap,	-52.0,	-1.0,	512,	-3277.0,	-1.0,	32768,	576.0,	582.0,	64,	575.0,	575.0,	64,	0.0,	574.0,	33855,	
Attn_Kmap,	-52.0,	-1.0,	512,	-3277.0,	-1.0,	32768,	576.0,	582.0,	64,	575.0,	575.0,	64,	0.0,	574.0,	33855,	
Attn_Qmap,	-52.0,	-1.0,	512,	-3277.0,	-1.0,	32768,	576.0,	582.0,	64,	575.0,	575.0,	64,	0.0,	574.0,	33855,	
Attn_QxK',	-7.0,	-1.0,	64,	-7.0,	-1.0,	64,	128.0,	537.0,	4096,	64.0,	127.0,	4096,	0.0,	78.0,	1167,	
Attn_SFMXxV,	-410.0,	-1.0,	4096,	-7.0,	-1.0,	64,	1028.0,	1034.0,	64,	64.0,	1027.0,	64,	0.0,	1026.0,	6147,	
Attn_Concat_map,	-52.0,	-1.0,	512,	-26215.0,	-1.0,	262144,	1280.0,	1331.0,	512,	767.0,	1279.0,	512,	0.0,	1278.0,	264447,	
FFN1,	-52.0,	-1.0,	512,	-52429.0,	2166.0,	1048576,	4352.0,	4556.0,	2048,	767.0,	4351.0,	2048,	0.0,	4350.0,	1057023,	
FFN2,	-205.0,	-1.0,	2048,	-52429.0,	2166.0,	1048576,	4352.0,	4403.0,	512,	2303.0,	4351.0,	512,	0.0,	4350.0,	1057023,	
