IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
524288,	524288,	262144,	Conv1,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv2,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv3,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv4,	10,	10,	10,	64,	32,
524288,	524288,	262144,	Conv5,	10,	10,	10,	64,	32,
