IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	1.0920090471903203,	0.25507806495531304,	2.0490568523682997,	47.44474699341956,	2.0490568523682997,
524288,	524288,	262144,	Conv2,	1.5598083927821293,	0.027346963918917135,	0.42558196228650164,	64.84034463835712,	0.42558196228650164,
524288,	524288,	262144,	Conv3,	0.2583557766378636,	5.332218632620522,	0.27746493171462866,	41.77126938534208,	0.27746493171462866,
524288,	524288,	262144,	Conv4,	0.291333527866939,	6.693201050481471,	0.20858791048461314,	47.10308186123768,	0.20858791048461314,
524288,	524288,	262144,	Conv5,	0.3909256291941255,	5.823018445116442,	0.18659566521691986,	42.1368805946773,	0.18659566521691986,
