Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-3485.0,	-1.0,	34848,	93703.0,	121698.0,	279936,	394.0,	100216.0,	279936,	0.0,	100218.0,	6481759,	
Conv2,	-52429.0,	24344654.0,	38665184,	-52429.0,	153599.0,	677888,	614463.0,	24735990.0,	10549504,	2431.0,	24729487.0,	10549504,	0.0,	24729630.0,	1607289631,	
Conv3,	-4327.0,	-1.0,	43264,	-52429.0,	61439.0,	892928,	110384.0,	115030.0,	46464,	2335.0,	110383.0,	46464,	0.0,	110622.0,	6994975,	
Conv4,	-6490.0,	-1.0,	64896,	-52429.0,	113166.0,	1490944,	165680.0,	170326.0,	46464,	3487.0,	165679.0,	46464,	0.0,	165918.0,	10492447,	
Conv5,	-6490.0,	-1.0,	64896,	-52429.0,	55295.0,	966656,	110480.0,	113577.0,	30976,	3487.0,	110479.0,	30976,	0.0,	110622.0,	6994975,	
