Layer,	Cycles,	% Utilization,
Conv1,	206664,	94.8792389911886,
Conv2,	33906075,	99.98335475279873,
Conv3,	137448,	94.59140911471975,
Conv4,	206172,	94.59140911471975,
Conv5,	150876,	94.613457408733,
