Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Embedding,	-52.0,	-1.0,	512,	-3371.0,	-1.0,	33708,	65540.0,	4336567.0,	17258496,	4.0,	4314627.0,	17258496,	0.0,	16856.0,	4367019,	
Attn_Xmap,	-52.0,	-1.0,	512,	-3277.0,	-1.0,	32768,	8196.0,	8202.0,	64,	515.0,	8195.0,	64,	0.0,	8194.0,	49155,	
Attn_Kmap,	-52.0,	-1.0,	512,	-3277.0,	-1.0,	32768,	8196.0,	8202.0,	64,	515.0,	8195.0,	64,	0.0,	8194.0,	49155,	
Attn_Qmap,	-52.0,	-1.0,	512,	-3277.0,	-1.0,	32768,	8196.0,	8202.0,	64,	515.0,	8195.0,	64,	0.0,	8194.0,	49155,	
Attn_QxK',	-2.0,	-1.0,	19,	-7.0,	-1.0,	64,	1028.0,	1437.0,	4096,	4.0,	1027.0,	4096,	0.0,	18.0,	267,	
Attn_SFMXxV,	-410.0,	-1.0,	4096,	-7.0,	-1.0,	64,	128.0,	134.0,	64,	64.0,	127.0,	64,	0.0,	126.0,	4287,	
Attn_Concat_map,	-52.0,	-1.0,	512,	-26215.0,	-1.0,	262144,	65540.0,	65591.0,	512,	515.0,	65539.0,	512,	0.0,	65538.0,	393219,	
FFN1,	-52.0,	-1.0,	512,	-52429.0,	131071.0,	1048576,	262148.0,	262352.0,	2048,	515.0,	262147.0,	2048,	0.0,	262146.0,	1572867,	
FFN2,	-205.0,	-1.0,	2048,	-52429.0,	131071.0,	1048576,	262148.0,	262199.0,	512,	2051.0,	262147.0,	512,	0.0,	262146.0,	1572867,	
