Layer,	Cycles,	% Utilization,
Embedding,	4314628,	99.23462341312215,
Attn_Xmap,	8196,	0.3904105018303844,
Attn_Kmap,	8196,	0.3904105018303844,
Attn_Qmap,	8196,	0.3904105018303844,
Attn_QxK',	1028,	3.2380756578947367,
Attn_SFMXxV,	128,	1.5994094488188977,
Attn_Concat_map,	65540,	0.39059817913761274,
FFN1,	262148,	0.3906182945542005,
FFN2,	262148,	0.3906182945542005,
