IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Embedding,	0.00011797403557378009,	0.007766931232658162,	3.976668791120979,	1.0062399508933078,	3.976668791120979,
524288,	524288,	262144,	Attn_Xmap,	0.044603188431048,	2.854604059587072,	0.005575398553881,	4.282167436187821,	0.005575398553881,
524288,	524288,	262144,	Attn_Kmap,	0.044603188431048,	2.854604059587072,	0.005575398553881,	4.282167436187821,	0.005575398553881,
524288,	524288,	262144,	Attn_Qmap,	0.044603188431048,	2.854604059587072,	0.005575398553881,	4.282167436187821,	0.005575398553881,
524288,	524288,	262144,	Attn_QxK',	0.013157894736842105,	0.0443213296398892,	2.8365650969529086,	0.18490304709141275,	2.8365650969529086,
524288,	524288,	262144,	Attn_SFMXxV,	7.529411764705882,	0.11764705882352941,	0.11764705882352941,	7.880514705882353,	0.11764705882352941,
524288,	524288,	262144,	Attn_Concat_map,	0.005576977539594362,	2.855412500272313,	0.005576977539594362,	4.283151428011241,	0.005576977539594362,
524288,	524288,	262144,	FFN1,	0.0016265276493816335,	3.3311286259335855,	0.006506110597526534,	4.9967024693358235,	0.006506110597526534,
524288,	524288,	262144,	FFN2,	0.006509274444741091,	3.3327485157074386,	0.0016273186111852727,	4.999132308631145,	0.0016273186111852727,
