IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv,	0.2601856955102387,	1.6605757408742103,	3.1366430660957305,	32.12307627082715,	3.1366430660957305,
524288,	524288,	262144,	Res_conv1,	0.37847644555838134,	2.4490885784608833,	0.3029908386880117,	46.72571760880338,	0.3029908386880117,
524288,	524288,	262144,	Res_conv2,	0.37847644555838134,	2.4490885784608833,	0.3029908386880117,	46.72571760880338,	0.3029908386880117,
524288,	524288,	262144,	ValueHead_conv,	7.4776276397766805,	0.020713649971680556,	0.02920948296787766,	7.97540254065863,	0.02920948296787766,
524288,	524288,	262144,	ValueHead_FC1,	0.029621728070895217,	7.5831623861491755,	0.021005989989332896,	8.05965372938377,	0.021005989989332896,
524288,	524288,	262144,	ValueHead_FC2,	0.9045936395759717,	0.9045936395759717,	0.0035335689045936395,	2.7137809187279154,	0.0035335689045936395,
524288,	524288,	262144,	PolicyHead_Conv,	7.4553081639238465,	0.041303646337528234,	0.05824459503065505,	8.199419167473378,	0.05824459503065505,
524288,	524288,	262144,	PolidyHead_FC,	0.020719143685252676,	7.500330014061468,	0.01038826871753666,	7.997847734381726,	0.01038826871753666,
