Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv,	-614.0,	-1.0,	6137,	-3917.0,	-1.0,	39168,	12272.0,	19670.0,	73984,	184.0,	12271.0,	73984,	0.0,	12270.0,	757687,	
Res_conv1,	-9242.0,	-1.0,	92416,	-52429.0,	73727.0,	598016,	184352.0,	191750.0,	73984,	2335.0,	184351.0,	73984,	0.0,	184350.0,	11409439,	
Res_conv2,	-9242.0,	-1.0,	92416,	-52429.0,	73727.0,	598016,	184352.0,	191750.0,	73984,	2335.0,	184351.0,	73984,	0.0,	184350.0,	11409439,	
ValueHead_conv,	-9242.0,	-1.0,	92416,	-26.0,	-1.0,	256,	3081.0,	3117.0,	361,	256.0,	3080.0,	361,	0.0,	3079.0,	98568,	
ValueHead_FC1,	-37.0,	-1.0,	361,	-9242.0,	-1.0,	92416,	2920.0,	2945.0,	256,	392.0,	2919.0,	256,	0.0,	2918.0,	98223,	
ValueHead_FC2,	-26.0,	-1.0,	256,	-26.0,	-1.0,	256,	257.0,	257.0,	1,	256.0,	256.0,	1,	0.0,	255.0,	768,	
PolicyHead_Conv,	-9242.0,	-1.0,	92416,	-52.0,	-1.0,	512,	3082.0,	3154.0,	722,	257.0,	3081.0,	722,	0.0,	3079.0,	101640,	
PolidyHead_FC,	-73.0,	-1.0,	722,	-26137.0,	-1.0,	261364,	8674.0,	8710.0,	362,	753.0,	8673.0,	362,	0.0,	8672.0,	278701,	
