IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv,	0.23068826824042402,	1.472315152426418,	2.781039732361012,	15.24970867947224,	13.90519866180506,
524288,	524288,	262144,	Res_conv1,	0.3281969693203166,	2.0946421532244033,	0.26273940203205404,	21.668500321392678,	18.91723694630789,
524288,	524288,	262144,	Res_conv2,	0.3281969693203166,	2.0946421532244033,	0.26273940203205404,	21.668500321392678,	18.91723694630789,
524288,	524288,	262144,	ValueHead_conv,	7.284880971149298,	0.020179725681854013,	0.028456566293551946,	7.552892952861422,	0.22765253034841557,
524288,	524288,	262144,	ValueHead_FC1,	0.01982318379001702,	5.074735050244358,	0.01405743781231124,	5.397177530064247,	0.16868925374773489,
524288,	524288,	262144,	ValueHead_FC2,	0.4620938628158845,	0.4620938628158845,	0.0018050541516245488,	1.4007220216606497,	0.01444043321299639,
524288,	524288,	262144,	PolicyHead_Conv,	7.259701492537314,	0.04021995286724273,	0.056716417910447764,	7.546897093479968,	0.4537313432835821,
524288,	524288,	262144,	PolidyHead_FC,	0.013857167533539336,	5.0162946471412395,	0.006947776519586204,	5.354163867723548,	0.1597988599504827,
