IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	0.5567578849349377,	0.27973959044094626,	2.8531383205028376,	26.86627118235894,	26.965971759530557,
524288,	524288,	262144,	Conv2,	31.810671350704204,	0.024701921503131222,	31.810671350704204,	32.830228686963814,	31.810671350704204,
524288,	524288,	262144,	Conv3,	0.17690329281207706,	3.6176199997546643,	0.1899878558898934,	17.837268924571582,	13.679125624072325,
524288,	524288,	262144,	Conv4,	0.19182576771985207,	3.922780196685259,	0.13734270943255683,	19.34191134088269,	14.833012618716136,
524288,	524288,	262144,	Conv5,	0.26704634300904473,	3.6406791378274503,	0.1274659073139819,	17.950965787979293,	13.766317989910046,
