Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-6936.0,	-1.0,	69357,	-3485.0,	-1.0,	34848,	74660.0,	117637.0,	355424,	96.0,	108305.0,	3359232,	0.0,	108289.0,	3346812,	
Conv2,	-52429.0,	24780159.0,	791212800,	-52429.0,	90111.0,	614400,	8288.0,	24820130.0,	791212800,	96.0,	24782999.0,	791212800,	0.0,	24782935.0,	816571800,	
Conv3,	-4327.0,	-1.0,	43264,	-52429.0,	90111.0,	884736,	187488.0,	192134.0,	46464,	96.0,	187487.0,	3345408,	0.0,	187423.0,	4362336,	
Conv4,	-6490.0,	-1.0,	64896,	-52429.0,	203946.0,	1327104,	281232.0,	285878.0,	46464,	96.0,	281231.0,	5018112,	0.0,	281167.0,	6543504,	
Conv5,	-6490.0,	-1.0,	64896,	-52429.0,	90111.0,	884736,	187488.0,	190585.0,	30976,	96.0,	187487.0,	3345408,	0.0,	187423.0,	4362336,	
