IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	0.6365284841451343,	0.2896243642693791,	1.1986892855923814,	18.78991022971635,	19.1044816875448,
524288,	524288,	262144,	Conv2,	0.14214235782779427,	23.293928232959065,	0.3204184108842711,	27.024101905284347,	26.200832226253354,
524288,	524288,	262144,	Conv3,	0.22240957413995188,	18.192839958051447,	0.23885998642840986,	20.241903312701776,	18.566305443030167,
524288,	524288,	262144,	Conv4,	0.2465203914179785,	20.165076277882452,	0.17650276545310886,	22.436273020117913,	20.579028140764603,
524288,	524288,	262144,	Conv5,	0.3144140346797285,	17.145797299457858,	0.15007533805225698,	19.774596299472393,	18.14258513684394,
