Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-6789.0,	-1.0,	67881,	191362.0,	219457.0,	280944,	64.0,	206664.0,	4477632,	0.0,	206649.0,	4403904,	
Conv2,	-52429.0,	30011993.0,	4828896,	-52429.0,	33897589.0,	791347200,	816426.0,	33919823.0,	10885335,	64.0,	33906075.0,	890101275,	0.0,	33906018.0,	918069600,	
Conv3,	-4327.0,	-1.0,	43264,	-52429.0,	121847.0,	3538944,	137449.0,	142095.0,	46464,	64.0,	137448.0,	3611592,	0.0,	137391.0,	3937536,	
Conv4,	-6490.0,	-1.0,	64896,	-52429.0,	199931.0,	5308416,	206173.0,	210819.0,	46464,	64.0,	206172.0,	5417388,	0.0,	206115.0,	5906304,	
Conv5,	-6490.0,	-1.0,	64896,	-52429.0,	134197.0,	3538944,	150877.0,	153974.0,	30976,	64.0,	150876.0,	3744684,	0.0,	150819.0,	4081536,	
