IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	DeepSpeech_conv1,	0.07570201902993734,	0.24725128732918294,	0.5419253937663333,	15.710744952425157,	16.193891450654345,
524288,	524288,	262144,	DeepSpeech_conv2,	0.17317976086725334,	0.4668615144439809,	0.03430477563493418,	16.387412628122117,	15.844983012173135,
524288,	524288,	262144,	BatchRNN1,	7.854696874229515,	0.28052488836533984,	0.012272963865983618,	9.112675670492836,	8.836533983508204,
524288,	524288,	262144,	BatchRNN2,	9.538710987361965,	0.3092628952933762,	0.01490423591775307,	11.066395168931654,	10.73104986078221,
524288,	524288,	262144,	BatchRNN3,	9.538710987361965,	0.3092628952933762,	0.01490423591775307,	11.066395168931654,	10.73104986078221,
524288,	524288,	262144,	FC,	0.17219344857738617,	4.993610008744199,	0.0019506289096657026,	5.494047218672227,	0.16143135804129952,
