IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	Max DRAM IFMAP Read BW,	Max DRAM Filter Read BW,	Max DRAM OFMAP Write BW,	Max SRAM Read BW,	Max SRAM OFMAP Write BW,
524288,	524288,	262144,	DeepSpeech_conv1,	10,	10,	10,	64,	32,
524288,	524288,	262144,	DeepSpeech_conv2,	10,	10,	10,	64,	32,
524288,	524288,	262144,	BatchRNN1,	11,	10,	10,	64,	32,
524288,	524288,	262144,	BatchRNN2,	11,	10,	10,	64,	32,
524288,	524288,	262144,	BatchRNN3,	11,	10,	10,	64,	32,
524288,	524288,	262144,	FC,	10,	10,	10,	64,	1,
